;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
2S1;Resting Open;0.019572718;0.02259626;0.015029844;0.038346311;0.021710677;0.02401542;0.015834651;0.043255094;0.024777;0.022476813;0.015513963;0.047974139;0.019062486;0.01873156;0.014929812;0.041725606;0.020000897;0.016331431;0.015716479;0.052161674;0.028357367;0.032484527;0.018658288;0.051012134;0.027796415;0.029842598;0.019741887;0.054154546;2.23608;1.57418;-5.62286;4.65443
2S3;Resting Open;0.016261565;0.03968091;0.025426589;0.022924665;0.015643973;0.040798405;0.028584242;0.021728668;0.014027833;0.045198106;0.034912186;0.02212278;0.015114246;0.033928588;0.023813663;0.019670804;0.008970794;0.024964876;0.019252819;0.015168513;0.021728453;0.058645386;0.048921461;0.030996405;0.015078254;0.037229167;0.039597608;0.025505959;-1.96877;13.5714;-2.46507;-4.11874
2S4;Resting Open;0.050538148;0.04387738;0.024410873;0.022009018;0.047118123;0.040204132;0.030347824;0.024019146;0.051890985;0.046322493;0.037856357;0.032198815;0.020675912;0.019046332;0.024285282;0.018214695;0.016731099;0.013869637;0.021738268;0.017686692;0.044402373;0.035489013;0.032398449;0.025371613;0.028351405;0.020614388;0.031794378;0.023502174;9.83529;6.94014;-2.90314;-4.13588
2S5;Resting Open;0.014422568;0.017188746;0.032576136;0.023591448;0.016359863;0.018792821;0.043997767;0.026000345;0.019390082;0.019931725;0.072438104;0.033732714;0.014800084;0.016776299;0.054319675;0.027404351;0.014551804;0.014682114;0.089808252;0.028752084;0.023576878;0.022598818;0.026884476;0.023924841;0.018617914;0.018065024;0.034948576;0.022117843;-0.834626;-2.42988;1.84301;-3.26556
2S6;Resting Open;0.010218472;0.022478012;0.031296361;0.038283584;0.010508049;0.021569327;0.036703965;0.04027116;0.010884776;0.021205784;0.046491504;0.046600149;0.024276406;0.034979142;0.03802692;0.05922471;0.010653172;0.017708262;0.045925425;0.043052939;0.010780806;0.022538972;0.042314672;0.041596607;0.011178303;0.02188872;0.050765362;0.04208634;-3.13024;1.5076;-0.191307;3.60944
2S7;Resting Open;0.036221442;0.024156171;0.019443639;0.02868943;0.028324914;0.02640778;0.021960513;0.03396341;0.037344951;0.026029481;0.023846608;0.038617271;0.043269814;0.022830999;0.016586124;0.024295382;0.032377138;0.017876597;0.012292658;0.018918265;0.056395677;0.034154551;0.021661352;0.029171954;0.042441477;0.02761276;0.017796177;0.023154547;11.2665;2.955;-4.98427;-2.22279
2S8;Resting Open;0.015073984;0.029521155;0.033509154;0.033198812;0.017245567;0.030352778;0.036776199;0.036099118;0.017372552;0.030020705;0.037060157;0.037167365;0.012653329;0.026333345;0.029649726;0.031814724;0.011742774;0.024390469;0.02664584;0.033951464;0.021555256;0.039108272;0.04447123;0.036787612;0.017662904;0.038861291;0.033459946;0.031536158;-1.50444;7.27857;-1.56722;0.000838815
2S9;Resting Open;0.013544722;0.015839695;0.031215615;0.045268263;0.012397529;0.01608967;0.034236373;0.052248057;0.013030271;0.016826215;0.030783648;0.052728472;0.014215161;0.01735127;0.043415307;0.045093437;0.009193004;0.012204863;0.026097509;0.036628503;0.015334667;0.021992558;0.044128922;0.059397806;0.013749545;0.019094315;0.052544616;0.047873432;-3.11776;-3.38413;-0.924848;5.77487
2S10;Resting Open;0.004764411;0.008070747;0.0819907;0.01000202;0.005161523;0.008369977;0.092145221;0.011625084;0.004991264;0.008595427;0.084510666;0.010780328;0.004701669;0.008452676;0.094577605;0.010836483;0.005021386;0.010213419;0.090092608;0.012456748;0.007360845;0.013675796;0.11108972;0.012820084;0.006390823;0.012896137;0.148895004;0.014632284;-7.30541;-8.59493;12.8412;-8.52486
2S11;Resting Open;0.031037664;0.021963379;0.009985337;0.023493716;0.031825908;0.02380577;0.012101425;0.029384731;0.033163255;0.025564598;0.013265228;0.033605972;0.027544667;0.020538294;0.010103149;0.021357642;0.031079578;0.021285317;0.011834217;0.02924677;0.041211451;0.034153105;0.016482014;0.031631447;0.037339241;0.028687061;0.01569029;0.02913977;7.85523;2.68934;-6.50869;-2.37834
2S12;Resting Open;0.017282018;0.019439632;0.027637907;0.031915685;0.018297573;0.021175424;0.031773328;0.033919017;0.015521301;0.019301599;0.032614075;0.038189267;0.017210684;0.01958111;0.031919775;0.035808093;0.018386154;0.019803075;0.027023308;0.055268959;0.023537212;0.024059487;0.032669902;0.026991843;0.022048538;0.024077945;0.028672697;0.028576887;0.0266124;-0.2027;-2.45915;-0.240837
2S13;Resting Open;0.028271141;0.026132118;0.028182309;0.031646598;0.032149265;0.030446587;0.036630845;0.040288416;0.032193945;0.032934804;0.034904741;0.040716962;0.024739215;0.023226324;0.028013867;0.033281433;0.02135303;0.020270649;0.040493211;0.046411998;0.033051522;0.030436862;0.03502497;0.037448109;0.02963954;0.025346413;0.029964674;0.032403324;5.42913;4.0706;-1.89244;0.821934
2S1;Resting;0.0095048;0.013388345;0.023730115;0.052762467;0.010618192;0.014375138;0.028734727;0.058661413;0.012375611;0.017174891;0.028170596;0.065208764;0.008709237;0.012615887;0.023903141;0.054926087;0.007770837;0.014546873;0.02646135;0.069053086;0.013880204;0.018647268;0.034106151;0.072577332;0.013125448;0.017654987;0.030958361;0.075909372;-4.40281;-4.50203;-3.10308;11.2806
2S3;Resting;0.007764093;0.012516312;0.062456801;0.020256504;0.007107789;0.013438782;0.080843657;0.019115293;0.00682464;0.015206905;0.106298154;0.019475413;0.006194634;0.010245765;0.05496638;0.017310072;0.004973527;0.008263834;0.05034668;0.014521704;0.009329592;0.017740179;0.125151647;0.029049942;0.008055437;0.012714694;0.079635916;0.026803619;-6.38453;-6.61623;7.99915;-4.7525
2S4;Resting;0.023255999;0.020054514;0.045923214;0.015566957;0.025120391;0.021801345;0.060502225;0.019014492;0.029626633;0.027082951;0.104121653;0.027475515;0.010842441;0.013123763;0.051155568;0.012579903;0.012549161;0.011994349;0.06832387;0.013997385;0.022604812;0.01935942;0.09215899;0.022920847;0.015940931;0.014529308;0.077165768;0.01837786;0.571722;-2.55744;5.87821;-5.96261
2S5;Resting;0.005013728;0.00664728;0.065989865;0.015350399;0.006103417;0.007870734;0.102375906;0.016841981;0.005719019;0.010720453;0.165489643;0.020155521;0.00468612;0.006562915;0.079185618;0.017066163;0.004742755;0.006697074;0.108420634;0.018482316;0.006073744;0.008251831;0.099011452;0.017509493;0.004866356;0.006987545;0.071902977;0.016593871;-7.3722;-10.4091;12.132;-6.53797
